#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-29 17:56:47.344
#Sample rate: 1.14943e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 10 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.003316928868581375,-0.01169554481668797,-1.765510135901669
-0.003316058868581375,-0.01236707120771959,-1.769189546234157
-0.003315188868581375,-0.01270283440323541,-1.78022777723162
-0.003314318868581374,-0.01169554481668797,-1.787586597896595
-0.003313448868581374,-0.01135978162117215,-1.791266008229083
-0.003312578868581374,-0.01135978162117215,-1.794945418561571
-0.003311708868581375,-0.01203130801220317,-1.805983649559024
-0.003310838868581375,-0.01203130801220378,-1.820701290888971
-0.003309968868581375,-0.01236707120771944,-1.809663059891527
-0.003309098868581375,-0.01203130801220393,-1.820701290888979
-0.003308228868581375,-0.0127028344032351,-1.831739521886443
-0.003307358868581375,-0.01169554481668842,-1.835418932218934
-0.003306488868581375,-0.01236707120771929,-1.842777752883907
-0.003305618868581375,-0.01270283440323525,-1.850136573548883
-0.003304748868581375,-0.01203130801220408,-1.850136573548886
-0.003303878868581375,-0.01169554481668812,-1.857495394213858
-0.003303008868581375,-0.01303859759875061,-1.872213035543806
-0.003302138868581375,-0.01135978162117291,-1.86485421487884
-0.003301268868581375,-0.01303859759875122,-1.864854214878837
-0.003300398868581375,-0.01337436079426703,-1.8758924458763
-0.003299528868581375,-0.01270283440323541,-1.883251266541275
-0.003298658868581375,-0.01236707120771959,-1.894289497538738
-0.003297788868581375,-0.01203130801220378,-1.901648318203714
-0.003296918868581375,-0.01303859759875122,-1.897968907871226
-0.003296048868581375,-0.01303859759875122,-1.905327728536202
-0.003295178868581375,-0.01303859759875122,-1.909007138868689
-0.003294308868581374,-0.01203130801220378,-1.916365959533665
-0.003293438868581374,-0.01270283440323541,-1.927404190531128
-0.003292568868581374,-0.01135978162117215,-1.949480652526054
-0.003291698868581375,-0.01203130801220317,-1.94580124219357
-0.003290828868581375,-0.01404588718529683,-1.942121831861082
-0.003289958868581375,-0.01337436079426734,-1.953160062858536
-0.003289088868581375,-0.01102401842565741,-1.953160062858541
-0.003288218868581375,-0.01169554481668766,-1.960518883523513
-0.003287348868581375,-0.01035249203462532,-1.960518883523517
-0.003286478868581375,-0.01236707120771868,-1.956839473191031
-0.003285608868581375,-0.01203130801220393,-1.960518883523515
-0.003284738868581375,-0.0127028344032351,-1.960518883523517
-0.003283868868581375,-0.01505317677184503,-1.975236524853461
-0.003282998868581375,-0.0133743607942678,-1.978915935185954
-0.003282128868581375,-0.01371012398978269,-1.989954166183413
-0.003281258868581375,-0.01303859759875122,-1.993633576515906
-0.003280388868581375,-0.01303859759875122,-1.993633576515906
-0.003279518868581375,-0.01169554481668797,-2.008351217845857
-0.003278648868581375,-0.01270283440323541,-2.000992397180881
-0.003277778868581375,-0.01303859759875122,-2.000992397180881
-0.003276908868581375,-0.01203130801220378,-2.015710038510832
