#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2879F
#Date Time: 2025-09-29 17:53:51.944
#Sample rate: 1.14943e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 10 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.003317073868581375,-0.005987570492919134,-0.6874429084827757
-0.003316203868581375,-0.006323333688434947,-0.6911223188152634
-0.003315333868581375,-0.005316044101887506,-0.6911223188152634
-0.003314463868581374,-0.008002149666014015,-0.6948017291477511
-0.003313593868581374,-0.007330623274982388,-0.7021605498127265
-0.003312723868581374,-0.00565180729740332,-0.6984811394802388
-0.003311853868581375,-0.00766638647049637,-0.7058399601452076
-0.003310983868581375,-0.006659096883951676,-0.7058399601452142
-0.003310113868581375,-0.0063233336884351,-0.7095193704777002
-0.003309243868581375,-0.005987570492919286,-0.7205576014751599
-0.003308373868581375,-0.00464451771085649,-0.724237011807651
-0.003307503868581375,-0.007330623274981166,-0.7131987808101945
-0.003306633868581375,-0.006659096883951066,-0.7242370118076477
-0.003305763868581375,-0.005987570492919439,-0.7279164221401386
-0.003304893868581375,-0.006659096883950455,-0.7315958324726264
-0.003304023868581375,-0.008002149666013404,-0.727916422140142
-0.003303153868581375,-0.007330623274982693,-0.7389546531375984
-0.003302283868581375,-0.006659096883951066,-0.7352752428051174
-0.003301413868581375,-0.006994860079466574,-0.7536722944675541
-0.003300543868581375,-0.005987570492919134,-0.7463134738025787
-0.003299673868581375,-0.007330623274982388,-0.7499928841350665
-0.003298803868581375,-0.006994860079466574,-0.7573517048000419
-0.003297933868581375,-0.006323333688434947,-0.7426340634700911
-0.003297063868581375,-0.006994860079466574,-0.7463134738025787
-0.003296193868581375,-0.006323333688434947,-0.7573517048000419
-0.003295323868581375,-0.008002149666014015,-0.7573517048000419
-0.003294453868581374,-0.00833791286152983,-0.7683899357975049
-0.003293583868581374,-0.007330623274982388,-0.7720693461299926
-0.003292713868581374,-0.00565180729740332,-0.7757487564624803
-0.003291843868581375,-0.00766638647049637,-0.7831075771274491
-0.003290973868581375,-0.006994860079467185,-0.7831075771274557
-0.003290103868581375,-0.006659096883950913,-0.7757487564624836
-0.003289233868581375,-0.007330623274982083,-0.7867869874599384
-0.003288363868581375,-0.005987570492919744,-0.7794281667949713
-0.003287493868581375,-0.005316044101887811,-0.78678698745994
-0.003286623868581375,-0.005987570492918828,-0.7978252184574014
-0.003285753868581375,-0.006323333688434795,-0.7904663977924344
-0.003284883868581375,-0.005987570492919286,-0.7941458081249171
-0.003284013868581375,-0.005987570492919134,-0.7941458081249188
-0.003283143868581375,-0.008002149666013099,-0.7867869874599467
-0.003282273868581375,-0.009009439252560999,-0.8051840391223735
-0.003281403868581375,-0.00565180729740332,-0.7978252184574064
-0.003280533868581375,-0.00833791286152983,-0.8162222701198449
-0.003279663868581375,-0.005987570492919134,-0.8125428597873572
-0.003278793868581375,-0.00665909688395076,-0.8162222701198449
-0.003277923868581375,-0.006323333688434947,-0.8125428597873572
-0.003277053868581375,-0.006994860079466574,-0.8125428597873572
-0.003276183868581375,-0.008002149666014015,-0.8162222701198449
-0.003275313868581375,-0.007666386470498202,-0.8199016804523326
-0.003274443868581375,-0.007666386470498202,-0.8309399114497956
-0.003273573868581374,-0.007666386470498202,-0.827260501117308
-0.003272703868581374,-0.00665909688395076,-0.8309399114497956
-0.003271833868581374,-0.006994860079466574,-0.8346193217822817
-0.003270963868581375,-0.006994860079466574,-0.830939911449799
-0.003270093868581375,-0.006994860079466574,-0.8346193217822817
-0.003269223868581375,-0.006323333688435253,-0.8419781424472554
-0.003268353868581375,-0.008337912861528914,-0.8346193217822867
-0.003267483868581375,-0.006994860079467185,-0.8419781424472554
-0.003266613868581375,-0.008002149666013557,-0.8419781424472588
-0.003265743868581375,-0.006323333688435711,-0.8419781424472588
-0.003264873868581375,-0.006659096883950608,-0.8603751941096889
-0.003264003868581375,-0.005987570492919439,-0.8530163734447251
-0.003263133868581375,-0.006323333688434795,-0.8566957837772079
-0.003262263868581375,-0.006659096883950608,-0.8566957837772096
-0.003261393868581375,-0.007666386470497744,-0.8566957837772096
-0.003260523868581375,-0.007666386470498202,-0.8603751941096972
-0.003259653868581375,-0.007666386470498202,-0.8603751941096972
-0.003258783868581375,-0.008002149666014015,-0.8640546044421848
-0.003257913868581375,-0.007330623274982388,-0.8603751941096972
-0.003257043868581375,-0.006994860079466574,-0.8603751941096972
-0.003256173868581375,-0.007666386470498202,-0.8787722457721356
-0.003255303868581375,-0.007666386470498202,-0.875092835439648
-0.003254433868581375,-0.00833791286152983,-0.8714134251071602
-0.003253563868581374,-0.006323333688434947,-0.875092835439648
-0.003252693868581374,-0.007666386470498202,-0.8787722457721356
-0.003251823868581374,-0.007330623274982235,-0.8824516561046267
-0.003250953868581375,-0.00699486007946688,-0.889810476769592
-0.003250083868581375,-0.005987570492919592,-0.8824516561046267
-0.003249213868581375,-0.006659096883950455,-0.8824516561046234
-0.003248343868581375,-0.00665909688395076,-0.8898104767695953
-0.003247473868581375,-0.00665909688395076,-0.8861310664371127
-0.003246603868581375,-0.005987570492919439,-0.8824516561046251
-0.003245733868581375,-0.006323333688434795,-0.8971692974345674
-0.003244863868581375,-0.005987570492919286,-0.886131066437116
-0.003243993868581375,-0.007330623274981777,-0.889810476769597
-0.003243123868581375,-0.006323333688435405,-0.8934898871020848
-0.003242253868581375,-0.005316044101887964,-0.8861310664371144
-0.003241383868581375,-0.007666386470497133,-0.8971692974345691
-0.003240513868581375,-0.008002149666014015,-0.9008487077670618
-0.003239643868581375,-0.008002149666014015,-0.9008487077670618
-0.003238773868581375,-0.008673676057045642,-0.9118869387645249
-0.003237903868581375,-0.006994860079466574,-0.9008487077670618
-0.003237033868581375,-0.006323333688434947,-0.8934898871020864
-0.003236163868581375,-0.007666386470498202,-0.8971692974345741
-0.003235293868581375,-0.005987570492919134,-0.9008487077670618
-0.003234423868581375,-0.00665909688395076,-0.9082075284320372
-0.003233553868581374,-0.00665909688395076,-0.9229251697619879
-0.003232683868581374,-0.00565180729740332,-0.9118869387645249
-0.003231813868581374,-0.006994860079466727,-0.9082075284320422
-0.003230943868581375,-0.007330623274982083,-0.9192457594294903
-0.003230073868581375,-0.008673676057045032,-0.8971692974345841
-0.003229203868581375,-0.007330623274982999,-0.9118869387645182
-0.003228333868581375,-0.006994860079466727,-0.9192457594294969
-0.003227463868581375,-0.006994860079466574,-0.9229251697619862
-0.003226593868581375,-0.006659096883950913,-0.9229251697619879
-0.003225723868581375,-0.005987570492919439,-0.9229251697619879
-0.003224853868581375,-0.006659096883950455,-0.9155663490970158
-0.003223983868581375,-0.00665909688395076,-0.9229251697619846
-0.003223113868581375,-0.007330623274982083,-0.9229251697619879
-0.003222243868581375,-0.007666386470498049,-0.9229251697619879
-0.003221373868581375,-0.008337912861529524,-0.926604580094474
-0.003220503868581375,-0.007330623274982388,-0.9266045800944757
-0.003219633868581375,-0.006323333688434947,-0.9376428110919387
-0.003218763868581375,-0.00665909688395076,-0.9339634007594511
-0.003217893868581375,-0.007330623274982388,-0.9339634007594511
-0.003217023868581375,-0.006994860079466574,-0.9302839904269633
-0.003216153868581375,-0.005987570492919134,-0.9339634007594511
-0.003215283868581375,-0.006994860079466574,-0.9339634007594511
-0.003214413868581375,-0.005987570492919134,-0.9376428110919387
-0.003213543868581374,-0.00665909688395076,-0.9302839904269633
-0.003212673868581374,-0.008002149666014015,-0.9302839904269633
-0.003211803868581374,-0.008673676057045032,-0.9266045800944807
-0.003210933868581375,-0.007330623274983609,-0.9376428110919287
-0.003210063868581375,-0.006659096883951066,-0.9339634007594527
-0.003209193868581375,-0.00665909688395076,-0.937642811091937
-0.003208323868581375,-0.006994860079466422,-0.9450016317569108
-0.003207453868581375,-0.006659096883950913,-0.9450016317569141
-0.003206583868581375,-0.005987570492919439,-0.9523604524218862
-0.003205713868581375,-0.006994860079466116,-0.9413222214244314
-0.003204843868581375,-0.006323333688435253,-0.9413222214244265
-0.003203973868581375,-0.007666386470497591,-0.9413222214244265
-0.003203103868581375,-0.006659096883951218,-0.9413222214244265
-0.003202233868581375,-0.0063233336884351,-0.9376428110919404
-0.003201363868581375,-0.005316044101887964,-0.9486810420893967
-0.003200493868581375,-0.006994860079466574,-0.9486810420894017
-0.003199623868581375,-0.005987570492919134,-0.9486810420894017
-0.003198753868581375,-0.006323333688434947,-0.9376428110919387
-0.003197883868581375,-0.006323333688434947,-0.9413222214244265
-0.003197013868581375,-0.00665909688395076,-0.9450016317569141
-0.003196143868581375,-0.005987570492919134,-0.9450016317569141
-0.003195273868581375,-0.006323333688434947,-0.9302839904269633
-0.003194403868581375,-0.00565180729740332,-0.9450016317569141
-0.003193533868581374,-0.00565180729740332,-0.9523604524218895
-0.003192663868581374,-0.005987570492919134,-0.9413222214244265
-0.003191793868581374,-0.006323333688434947,-0.9450016317569141
-0.003190923868581375,-0.005316044101888422,-0.933963400759461
